Model,Hit@5,Hit@10,MRR@10,NDCG@10,BestEpoch,ValNDCG@10
Popularity,0.07235099337748345,0.13559602649006622,0.04260479081257227,0.06392988505269162,,
Markov Chain,0.41456953642384103,0.49735099337748345,0.3025298276043309,0.3490607838506044,,
MF-only,0.0478476821192053,0.09718543046357615,0.028188925680647535,0.043923459464553005,2,0.04419863756111363
FMC-only,0.37251655629139074,0.49205298013245036,0.24161029643645537,0.3006462337586254,96,0.31896376899367607
FPMC,0.3824503311258278,0.508112582781457,0.24839449963208243,0.3094402113661458,81,0.3254624420531981
